2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 240]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 243]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 247]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 257]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 270]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 273]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 276]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 280]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 310]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 311]
2012-08-07 17:01:29 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 5]
2012-08-07 17:01:29 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 11]
2012-08-07 17:01:29 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 18]
2012-08-07 17:01:29 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 19]
2012-08-07 17:01:29 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 26]
2012-08-07 17:01:29 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 28]
2012-08-07 17:01:29 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 30]
2012-08-07 23:16:58 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 137]
2012-08-07 23:16:58 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 137]
2012-08-07 23:16:58 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 138]
2012-08-07 23:16:58 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 140]
2012-08-07 23:16:58 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 141]
2012-08-07 23:16:58 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 145]
